Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Iraq,IRQ,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,77.97402,..,..,75.54286,..,..,89.46714,88.41908,..,..,94.24618,93.01746,..,..,92.3117,..,..,..
Ireland,IRL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,87.97195,87.55151,86.79096,86.5352,86.64638,86.9253,87.66335,..,99.5362,99.81474,99.75439,99.72334,99.76794,99.89285,99.80247,99.87485,99.88994,99.92419,99.8194,99.68857,99.66597
Isle of Man,IMN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,97.59695,97.84637,98.31084,97.98955,98.08033,97.66333,97.53903,97.06288,97.29232,97.26514,96.96783,97.38547
Italy,ITA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,97.19731,98.2864,99.0058,..,99.91025,99.75117,99.66794,99.57726,99.53024,99.47699,99.30175,99.21211,99.15022,99.09865,99.14749,99.25493
Jamaica,JAM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,98.24734,96.53239,..,93.39915,..,..,..,..,..,92.08292,93.5645,93.27317,92.57244,91.37336,93.21868,..,..,..,..,..,..
Japan,JPN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.9699,99.9649,99.96924,..,99.95881,99.95917,..,..,99.9921,99.99857,99.97021,99.97465,99.97535,99.99622,99.96656,99.99935,99.97621,99.99798,99.98215,99.97265,99.94351
Jordan,JOR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,97.65742,98.9402,..,99.01989,98.8525,98.55356,98.91098,98.58737,97.05175,94.38291,..,89.74888
Kazakhstan,KAZ,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,94.13365,97.25299,98.35758,98.58198,98.72665,98.72417,97.65418,97.31953,98.56708,99.44679,99.65259
Kenya,KEN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,62.88778,66.03254,67.54408,62.68206,75.16034,74.31468,76.09773,76.00519,87.09184,82.89874,84.0062,..
Kiribati,KIR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,99.7586,99.93245,98.87472,99.02552,98.28799,98.31401,99.13285,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.97313,..
"Korea, Rep.",KOR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.37553,99.3988,99.33585,99.2474,99.0817,98.79821,98.81114,99.3234,98.77597,99.34475,99.7506,99.86573,99.72239,..,..,..,..,99.68845,99.69436,99.20265,98.91735
Kosovo,XKX,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,47.98204,..,68.51562,..,86.44051,85.72289,95.95154,96.62865,97.05106,98.6598,99.01954,99.23748,99.17336,96.08961,..,98.76759,98.31316,..,97.48563
Kyrgyz Republic,KGZ,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,91.99485,..,..,93.06417,92.40562,93.05922,92.90612,92.52387,96.92354,94.47072,95.5512,94.41782,93.77536,93.04551,93.75404
Lao PDR,LAO,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,64.9222,..,58.13767,62.96952,66.70903,..,68.65727,71.11475,74.35543,74.90834,75.69538,75.11421,76.17453,78.69946,79.34927,80.61729,82.156,84.66916,87.11556,89.50417,94.14741
Latvia,LVA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,97.16047,..,..,..,..,..,..,..,..,96.93929,98.18458,98.14579
